"est"	"lav"	"kor"	"gle"	"mkd"	"hbs"	"lat"	"tur"	"hye"	"swa"	"hun"	"glg"	"ces"	"nno"	"heb"	"nob"	"dan"	"gla"	"bul"	"qcn"	"swe"	"lit"	"deu"	"als"	"isl"	"rus"	"cmn"	"tha"	"pol"	"ell"	"arb"	"slk"	"hrv"	"fas"	"por"	"nld"	"slv"	"cat"	"spa"	"eus"	"ita"	"ron"	"jpn"	"fin"	"eng"	"fra"	"ind"	"zsm"
"est"	1	0.945454545454545	0.916666666666667	0.956521739130435	0.836363636363636	0.8	0.731707317073171	0.765957446808511	0.746268656716418	0.844444444444444	0.862068965517241	0.875	0.808988764044944	0.882352941176471	0.875	0.865671641791045	0.857142857142857	0.8	0.758620689655172	0.777777777777778	0.762886597938144	0.825396825396825	0.810344827586207	0.52	0.954545454545455	0.774193548387097	0.716981132075472	0.612903225806452	0.774193548387097	0.666666666666667	0.666666666666667	0.704545454545455	0.790322580645161	0.777777777777778	0.712328767123288	0.700636942675159	0.656716417910448	0.686131386861314	0.746835443037975	0.587301587301587	0.654970760233918	0.708074534161491	0.551724137931034	0.782608695652174	0.703296703296703	0.729281767955801	0.687116564417178	0.691358024691358
"lav"	0.945454545454545	1	0.810810810810811	0.96969696969697	0.923076923076923	0.929292929292929	0.766666666666667	0.835443037974684	0.843137254901961	0.926829268292683	0.878048780487805	0.896551724137931	0.932203389830508	0.823529411764706	0.926829268292683	0.869565217391304	0.888888888888889	0.854166666666667	0.82051282051282	0.533333333333333	0.884057971014493	0.888888888888889	0.888888888888889	0.8	0.909090909090909	0.865979381443299	0.781609195402299	0.746666666666667	0.88	0.818897637795276	0.78	0.865384615384615	0.829931972789116	0.710526315789474	0.840579710144927	0.797814207650273	0.837988826815642	0.819672131147541	0.834123222748815	0.740740740740741	0.769953051643192	0.789473684210526	0.712765957446808	0.797872340425532	0.787330316742081	0.798245614035088	0.658119658119658	0.661087866108787
"kor"	0.916666666666667	0.810810810810811	1	0.75	0.789473684210526	0.769230769230769	0.615384615384615	0.780487804878049	0.6	0.666666666666667	0.76	0.666666666666667	0.792452830188679	0.692307692307692	0.744186046511628	0.653061224489796	0.821428571428571	0.608695652173913	0.727272727272727	0.235294117647059	0.766666666666667	0.772727272727273	0.722222222222222	0.65	0.64	0.645833333333333	0.822222222222222	0.628571428571429	0.657894736842105	0.645161290322581	0.592592592592593	0.666666666666667	0.631578947368421	0.656716417910448	0.617886178861789	0.483333333333333	0.517241379310345	0.516129032258065	0.507246376811594	0.390625	0.447368421052632	0.525423728813559	0.571428571428571	0.638655462184874	0.421052631578947	0.48314606741573	0.456140350877193	0.441988950276243
"gle"	0.956521739130435	0.96969696969697	0.75	1	0.888888888888889	0.894736842105263	0.709677419354839	0.779661016949153	0.819672131147541	0.736842105263158	0.878787878787879	0.777777777777778	0.852459016393443	0.72	0.876712328767123	0.814814814814815	0.826086956521739	0.832	0.675324675324675	0.685714285714286	0.808510638297872	0.736842105263158	0.792682926829268	0.631578947368421	0.651162790697674	0.688888888888889	0.765432098765432	0.638297872340426	0.71830985915493	0.715151515151515	0.622950819672131	0.74468085106383	0.586046511627907	0.560975609756098	0.682926829268293	0.64367816091954	0.576923076923077	0.653992395437262	0.618705035971223	0.562770562770563	0.571428571428571	0.599303135888502	0.517110266159696	0.523297491039427	0.607734806629834	0.605405405405405	0.491228070175439	0.50415512465374
"mkd"	0.836363636363636	0.923076923076923	0.789473684210526	0.888888888888889	1	0.945054945054945	0.716049382716049	0.82258064516129	0.828571428571429	0.902654867256637	0.836065573770492	0.875	0.891566265060241	0.769230769230769	0.898305084745763	0.732142857142857	0.780487804878049	0.688	0.842857142857143	0.705882352941177	0.838383838383838	0.847826086956522	0.805555555555556	0.64	0.75	0.842105263157895	0.807692307692308	0.583333333333333	0.81651376146789	0.793814432989691	0.710059171597633	0.769230769230769	0.821818181818182	0.708333333333333	0.732673267326733	0.614906832298137	0.718120805369127	0.631578947368421	0.67524115755627	0.609442060085837	0.664615384615385	0.641638225255973	0.596610169491525	0.685534591194969	0.704433497536946	0.703962703962704	0.562874251497006	0.565096952908587
"hbs"	0.8	0.929292929292929	0.769230769230769	0.894736842105263	0.945054945054945	1	0.697674418604651	0.837837837837838	0.86046511627907	0.833333333333333	0.805555555555556	0.915254237288136	0.913669064748201	0.794520547945205	0.807017543859649	0.822085889570552	0.823529411764706	0.815789473684211	0.850574712643678	0.474576271186441	0.84	0.788321167883212	0.816326530612245	0.653846153846154	0.766917293233083	0.814814814814815	0.721804511278195	0.538011695906433	0.761609907120743	0.778877887788779	0.580882352941177	0.786324786324786	0.805555555555556	0.673913043478261	0.717299578059072	0.656455142231947	0.674528301886792	0.679611650485437	0.689956331877729	0.589970501474926	0.655038759689923	0.680365296803653	0.545064377682403	0.624737945492662	0.669158878504673	0.664473684210526	0.564831261101243	0.573853989813243
"lat"	0.731707317073171	0.766666666666667	0.615384615384615	0.709677419354839	0.716049382716049	0.697674418604651	1	0.727272727272727	0.576271186440678	0.6	0.810126582278481	0.666666666666667	0.680851063829787	0.372093023255814	0.740157480314961	0.577777777777778	0.666666666666667	0.614173228346457	0.601769911504425	0.2	0.571428571428571	0.549450549450549	0.605504587155963	0.397058823529412	0.565217391304348	0.523636363636364	0.492063492063492	0.315068493150685	0.516949152542373	0.582010582010582	0.390977443609023	0.492462311557789	0.464730290456432	0.481751824817518	0.481283422459893	0.469333333333333	0.386292834890966	0.422960725075529	0.476923076923077	0.411149825783972	0.41025641025641	0.426666666666667	0.360742705570292	0.382978723404255	0.417391304347826	0.456204379562044	0.355029585798817	0.345351043643264
"tur"	0.765957446808511	0.835443037974684	0.780487804878049	0.779661016949153	0.82258064516129	0.837837837837838	0.727272727272727	1	0.794117647058823	0.803738317757009	0.846153846153846	0.75	0.821052631578947	0.617647058823529	0.772727272727273	0.756756756756757	0.758169934640523	0.732824427480916	0.813333333333333	0.464285714285714	0.73992673992674	0.786324786324786	0.736156351791531	0.602941176470588	0.724137931034483	0.726790450928382	0.695652173913043	0.634730538922156	0.639344262295082	0.682352941176471	0.64	0.584158415841584	0.672839506172839	0.682352941176471	0.640522875816993	0.55421686746988	0.583333333333333	0.585	0.612068965517241	0.571428571428571	0.543933054393305	0.593824228028504	0.550335570469799	0.60310421286031	0.576335877862595	0.565289256198347	0.514680483592401	0.521008403361345
"hye"	0.746268656716418	0.843137254901961	0.6	0.819672131147541	0.828571428571429	0.86046511627907	0.576271186440678	0.794117647058823	1	0.784	0.697674418604651	0.727272727272727	0.830645161290323	0.575342465753425	0.820809248554913	0.67515923566879	0.705882352941177	0.666666666666667	0.691489361702128	0.408602150537634	0.623376623376623	0.742857142857143	0.677083333333333	0.624113475177305	0.615384615384615	0.724137931034483	0.666666666666667	0.536585365853659	0.647058823529412	0.699386503067485	0.58641975308642	0.678445229681979	0.635	0.61437908496732	0.610364683301344	0.541501976284585	0.612244897959184	0.549682875264271	0.607272727272727	0.502369668246445	0.549520766773163	0.587360594795539	0.476370510396975	0.550091074681239	0.536585365853659	0.570596797671033	0.503496503496504	0.500669344042838
"swa"	0.844444444444444	0.926829268292683	0.666666666666667	0.736842105263158	0.902654867256637	0.833333333333333	0.6	0.803738317757009	0.784	1	0.75	0.782608695652174	0.7125	0.67741935483871	0.838709677419355	0.757142857142857	0.771653543307087	0.77037037037037	0.611111111111111	0.435897435897436	0.742616033755274	0.636363636363636	0.661417322834646	0.611764705882353	0.540983606557377	0.66	0.597938144329897	0.550335570469799	0.661016949152542	0.708133971291866	0.512562814070352	0.65	0.619528619528619	0.587301587301587	0.65679012345679	0.576271186440678	0.623229461756374	0.622549019607843	0.633123689727463	0.539130434782609	0.551440329218107	0.612658227848101	0.491803278688525	0.506912442396313	0.821243523316062	0.683853459972863	0.473604826546003	0.476608187134503
